 Supplementary Table 1. Detailed information of the maize inbred lines used in this study					
Sample ID	Inbred line name	Breeding era	Origin	 Subgroup	Heterotic group
518	Si-287	I	Jilin,China	SPT 1	SPT
519	Cheng351	I	Hebei,China	Lancaster 2	NSS
520	351	I	Hebei,China	Lancaster 2	NSS
521	S121	II	Liaoning,China	Zi330	NSS
522	81533	II	Jilin,China	PB	PB
523	1007-3	II	Jilin,China	PA 1	PA
524	Hai7	I	Jilin,China	PA 1	PA
525	JLXH-27	II	Jilin,China	PB	PB
526	JLXH-38	II	Jilin,China	Amargo	SS
527	JLXH-42	II	Jilin,China	Lancaster 2	NSS
528	JLXH-71	I	Jilin,China	Admix	Admix
