ID	Accession	Run title	BioProject accession	Experiment accession	Run data file type	File name 1	MD5 checksum 1	DownLoad1	File name 2	MD5 checksum 2	DownLoad2	Reference file name	MD5 for reference file	Assembly Name or Accession	Assembly Accession URL	other_db	accession_in_other_db	other_db_url
51	CRR504204	3H2	PRJCA009749	CRX444610	fastq	CRR504204_f1.fq.gz (3918720336 bytes)	f152c5a8523c15a1ec8ff5b3b5bb0c4e	ftp://download.big.ac.cn/gsa/CRA007020/CRR504204/CRR504204_f1.fq.gz	CRR504204_r2.fq.gz (4148430366 bytes)	b7a9fd3bf77374b56b35276b2df6ac6e	ftp://download.big.ac.cn/gsa/CRA007020/CRR504204/CRR504204_r2.fq.gz							
52	CRR504205	Yan812	PRJCA009749	CRX444611	fastq	CRR504205_f1.fq.gz (3241907999 bytes)	c3bcc9f4471d033efdf34628d2df7d59	ftp://download.big.ac.cn/gsa/CRA007020/CRR504205/CRR504205_f1.fq.gz	CRR504205_r2.fq.gz (3332643929 bytes)	95c9a37672568f55b6a3d6372fd77211	ftp://download.big.ac.cn/gsa/CRA007020/CRR504205/CRR504205_r2.fq.gz							
53	CRR504206	1205A	PRJCA009749	CRX444612	fastq	CRR504206_f1.fq.gz (3519707501 bytes)	6d2588ac67d0262fe1258c55140a81e4	ftp://download.big.ac.cn/gsa/CRA007020/CRR504206/CRR504206_f1.fq.gz	CRR504206_r2.fq.gz (3935189829 bytes)	fd57cbe9f383d2789c09a408452806bd	ftp://download.big.ac.cn/gsa/CRA007020/CRR504206/CRR504206_r2.fq.gz							
54	CRR504207	M7	PRJCA009749	CRX444613	fastq	CRR504207_f1.fq.gz (3410731283 bytes)	1e9a7a1b869927b794069fc0a9341cd8	ftp://download.big.ac.cn/gsa/CRA007020/CRR504207/CRR504207_f1.fq.gz	CRR504207_r2.fq.gz (3498079151 bytes)	b4e401425eca13910ee1d406f1c204cd	ftp://download.big.ac.cn/gsa/CRA007020/CRR504207/CRR504207_r2.fq.gz							
55	CRR504208	Beck	PRJCA009749	CRX444614	fastq	CRR504208_f1.fq.gz (3130381005 bytes)	b2ef8a950f13d22da8493f7296541769	ftp://download.big.ac.cn/gsa/CRA007020/CRR504208/CRR504208_f1.fq.gz	CRR504208_r2.fq.gz (3262987178 bytes)	f70a4c333432980962eddc6114d4dfca	ftp://download.big.ac.cn/gsa/CRA007020/CRR504208/CRR504208_r2.fq.gz							
56	CRR504209	Huanglv12	PRJCA009749	CRX444615	fastq	CRR504209_f1.fq.gz (3860929248 bytes)	1b7b793da68bc411aefe6bd31094426c	ftp://download.big.ac.cn/gsa/CRA007020/CRR504209/CRR504209_f1.fq.gz	CRR504209_r2.fq.gz (4060467760 bytes)	c4f1a9fbdb35e80a96a27d348bbeaf1b	ftp://download.big.ac.cn/gsa/CRA007020/CRR504209/CRR504209_r2.fq.gz							
57	CRR504210	Ji15_22	PRJCA009749	CRX444616	fastq	CRR504210_f1.fq.gz (3289298723 bytes)	a4d2a83a8eaf52dd057cd15c79566c14	ftp://download.big.ac.cn/gsa/CRA007020/CRR504210/CRR504210_f1.fq.gz	CRR504210_r2.fq.gz (3408947385 bytes)	8e318d14ccfe516f09764e27b89af642	ftp://download.big.ac.cn/gsa/CRA007020/CRR504210/CRR504210_r2.fq.gz							
58	CRR504211	953	PRJCA009749	CRX444617	fastq	CRR504211_f1.fq.gz (3766150430 bytes)	406fb48bc108d02a17d6881f4f6fa8cf	ftp://download.big.ac.cn/gsa/CRA007020/CRR504211/CRR504211_f1.fq.gz	CRR504211_r2.fq.gz (3900363399 bytes)	33ec93ba1f96a160424301e2ef64892b	ftp://download.big.ac.cn/gsa/CRA007020/CRR504211/CRR504211_r2.fq.gz							
59	CRR504212	Shen977	PRJCA009749	CRX444618	fastq	CRR504212_f1.fq.gz (3219405487 bytes)	e91db3f77e39e2b5dae448563027309f	ftp://download.big.ac.cn/gsa/CRA007020/CRR504212/CRR504212_f1.fq.gz	CRR504212_r2.fq.gz (3348058029 bytes)	5d65d8868beee869ae5473db39555772	ftp://download.big.ac.cn/gsa/CRA007020/CRR504212/CRR504212_r2.fq.gz							
60	CRR504213	68122	PRJCA009749	CRX444619	fastq	CRR504213_f1.fq.gz (3603581585 bytes)	5369f5df34eefcc4d6b89dda994cbe11	ftp://download.big.ac.cn/gsa/CRA007020/CRR504213/CRR504213_f1.fq.gz	CRR504213_r2.fq.gz (3738977549 bytes)	760bf0850fa0cc940fb21af4f09a85d9	ftp://download.big.ac.cn/gsa/CRA007020/CRR504213/CRR504213_r2.fq.gz							
61	CRR504214	D869	PRJCA009749	CRX444620	fastq	CRR504214_f1.fq.gz (3947349740 bytes)	755c2d8168df5cad1b90d2cc352122de	ftp://download.big.ac.cn/gsa/CRA007020/CRR504214/CRR504214_f1.fq.gz	CRR504214_r2.fq.gz (4090923441 bytes)	00453370f5a5a73b57cbc658b091e6d0	ftp://download.big.ac.cn/gsa/CRA007020/CRR504214/CRR504214_r2.fq.gz							
